campus_name,campus_location,rating,students,community_type,community_size
University of Pittsburgh at Bradford,"Bradford, PA",3.5,1500,rural community,7655
University of Kansas,"Lawrence, KS",4.5,28000,small city,95794
Baldwin Wallace University,"Berea, OH",4,3500,small town,18395
Rochester Institute of Technology,"Rochester, NY",4,18897,medium city,209352
University of Maine at Machias,"Machias, ME",4.5,800,rural community,2072
University of Wisconsin - Whitewater,"Whitewater, WI",4,12000,small town,15638
San Francisco State University,"San Francisco, CA",3.5,29905,large urban city,808437
Swarthmore College,"Swarthmore, PA",4,1699,large urban city,6494
University of Texas at Dallas,"Richardson, TX",5,27642,medium city,118802
Red Rocks Community College,"Lakewood, CO",3.5,4297,medium city,156120
Colgate University,"HAMILTON, NY",4.5,3228,rural community,4100
Bard College at Simon's Rock,"Great Barrington, MA",4.5,400,very small town,6852
Kent State University,"Kent, OH, OH",5,28000,small city,27147
Purdue University,"West Lafayette, IN",5,49000,small city,45060
Kenyon College,"Gambier, OH",4,1730,rural community,2304
Widener University,"Chester, PA",4,6300,small city,33449
College of Wooster,"Wooster, OH",4,2000,small city,27031
University of Wisconsin - Milwaukee,"Milwaukee, WI, WI",4.5,23829,large urban city,563305
University of Maine at Farmington,"Farmington, ME",4.5,1800,very small town,7813
"St. John's College, Annapolis","Annapolis, MD",3.5,450,small city,40648
Drexel University,"Philadelphia, PA",3.5,14000,large urban city,1567000
Southern Methodist University,"DALLAS, TX",4.5,12373,large urban city,1300000
Earlham College,"Richmond, IN",4.5,1200,small city,35513
Southern Illinois University Carbondale,"Carbondale, IL",5,14000,small city,21717
University of Louisville,"Louisville, KY",5,22000,large urban city,624444
Wichita State University,"Wichita, KS",4,15000,large urban city,396192
SUNY ROCKLAND COMMUNITY COLLEGE,"SUFFERN, NY",3,7500,small town,11338
Adelphi University,"Garden City, NY",5,7859,small town,22891
Hobart and William Smith Colleges,"Geneva, NY",4.5,2396,rural community,12503
University of Illinois Chicago,"Chicago, IL",5,30539,large urban city,2665000
Metropolitan State University of Denver,"Denver, CO",4.5,21000,large urban city,713252
Montserrat College of Art,"Beverly, MA",4,370,small city,42235
Harvard College,"Cambridge, MA",4.5,6500,medium city,118488
Cleveland State University,"Cleveland, OH",4,16000,medium city,361607
University of Mount Union,"Alliance, OH",3,2100,small town,21414
University of Virginia,"Charlottesville, VA",4.5,22000,small town,45373
Gonzaga University,"Spokane, WA",4.5,7450,medium city,230160
James Madison University,"Harrisonburg, VA",4,22000,small city,51158
University of the Arts,"Philadelphia, PA",3,1900,large urban city,1567000
Stevens Institute of Technology,"Hoboken, NJ",4,6825,small city,57703
Towson University,"Towson, MD",5,16517,large urban city,57617
Florida International University,"Miami, FL",4.5,34000,large urban city,449514
Antioch College,"Yellow Springs, OH",4.5,125,rural community,3724
Millersville University of Pennsylvania,"Millersville, PA",3.5,7500,small city,9180
Mars Hill University,"Mars Hill, NC",3,1000,rural community,2107
KEAN UNIVERSITY,"Union, NJ",3,11610,small city,67258
The University of Findlay,"Findlay, OH",3.5,3500,small city,40249
Fort Lewis College,"Durango, CO",4,3443,small town,19531
Southwestern University,"Georgetown, TX",3.5,1500,small city,86507
Lebanon Valley College,"Annville, PA",4,1651,rural community,4829
University of New Hampshire-Main Campus,"Durham, NH",4.5,13000,small town,16574
Mohawk Valley Community College,"Utica, NY",2,5000,small city,64081
Bryant University,"Smithfield, RI",2,3287,small town,21430
Emerson College,"Boston, MA",4,3783,large urban city,650706
Manhattan School of Music,"New York, NY",3,1035,large urban city,8336000
Eastern Mennonite University,"Harrisonburg, VA",3,1000,,51158
Tidewater Community College,"Norfolk, VA",1.5,7028,large urban city,232995
Art Academy of Cincinnati,"Cincinnati, OH",2.5,260,medium city,309513
Joliet Junior College,"Joliet, IL",2.5,10000,small city,150033
University of Mary Washington,"Fredericksburg, VA",4,4000,small city,28757
Gwynedd Mercy University,"Gwynedd Valley, PA",3,1724,small town,17072
Colorado College,"Colorado Springs, CO",2.5,2300,large urban city,486248
University of Puget Sound,"Tacoma, WA",4,2200,medium city,221776
Virginia Wesleyan University,"Virginia Beach, VA",5,1750,large urban city,455618
Fitchburg State University,"FITCHBURG, MA",4.5,3500,small city,41502
Juniata College,"Huntingdon, PA",3,1600,very small town,6930
University of Michigan-Ann Arbor,"Ann Arbor, MI",5,46000,medium city,119875
Worcester State University,"Worcester, MA",4.5,4039,,205319
Regis College,"Weston, MA",3.5,3014,rural community,11261
West Chester University of Pennsylvania,"West Chester, PA",4,17552,small town,19531
William Paterson University of New Jersey,"WAYNE, NJ",4.5,8000,small city,53657
Gallaudet University,"Washington, DC",3.5,1454,large urban city,671803
Whitman College,"Walla Walla, WA",3,1493,small city,33492
University of Wisconsin-Stevens Point,"Stevens Point, WI",4.5,8900,small city,25716
Georgia Southern University,"Statesboro, GA",3.5,21000,small town,34353
Susquehanna University,"Selinsgrove, PA",3,2300,very small town,5693
Dominican University of California,"San Rafael, CA",3,1531,small city,59971
Texas State University,"San Marcos, TX",3.5,38000,small city,70301
Skyline College,"San Bruno, CA",3,5599,small city,41533
Salt Lake Community College,"Salt Lake City, UT",4,16158,large urban city,204657
Catawba College,"Salisbury, NC",2,1200,rural community,35808
Nazareth College,"Rochester, NY",4,3000,small town,209352
Rhode Island College,"Providence, RI",2.5,5776,medium city,189563
Big Sandy Community and Technical College,"Prestonsburg, KY",2.5,1193,rural community,3791
Dutchess Community College,"Poughkeepsie, NY",3.5,6500,medium city,32010
California State Polytechnic University-Pomona,"Pomona, CA",3.5,23717,medium city,146017
Diablo Valley College,"Pleasant Hill, CA",1.5,7854,small city,33913
Union College,"Schenectady, NY",5,2150,small city,68809
Point Park University,"Pittsburgh, PA",3,4000,medium city,302898
Bergen Community College,"Paramus, NJ",4.5,14585,large urban city,26359
Miami University-Oxford,"Oxford, OH",4.5,24000,small town,19645
BUTTE COLLEGE,"Oroville, CA",3.5,4816,small town,20041
Wheaton College,"Norton, MA",4.5,1700,small town,19948
University of Oklahoma-Norman Campus,"Norman, OK",4,25829,medium city,129627
Norco College,"Norco, CA",3,10000,small town,25042
Milwaukee Institute of Art & Design,"Milwaukee, WI",4,900,large urban city,563305
Allegheny College,"Meadville, PA",4.5,1800,small town,12680
Ramapo College of New Jersey,"Mahwah, NJ",4,5041,small city,26380
Drew University,"Madison, NJ",4.5,2100,small town,16261
Dakota State University,"Madison, SD",2,3100,very small town,6097
Randolph College,"Lynchburg, VA",3,650,rural community,79287
Otis College of Art and Design,"Los Angeles, CA",4,1100,large urban city,3822000
Dickinson College,"Carlisle, PA",4.5,2400,small town,22203
University of Northern Colorado,"Greeley, CO",5,11114,medium city,109209
University of North Carolina at Charlotte,"Charlotte, NC",3.5,22968,large urban city,897720
University of Nebraska at Kearney,"Kearney, NE",5,6232,small city,34277
California State University-Bakersfield,"Bakersfield, CA",3.5,7000,medium city,410647
Suffolk University,"Boston, MA",3.5,7288,,650706
Wayne State University,"Detroit, MI",,26251,large urban city,620376
Western Colorado University,"Gunnison, CO",3,3040,very small town,6794
Wentworth Institute of Technology,"Boston, MA",4.5,5000,large urban city,650706
Sacred Heart University,"Fairfield, CT",4,10216,small city,62105
Henry Ford Community College,"Dearborn, MI",2.5,13000,small city,107710
Xavier University,"Cincinnati, OH",3,6738,medium city,309513
Haverford College,"Haverford, PA",3,1400,small city,50375
The College of Idaho,"Caldwell, ID",2.5,987,very small town,65920
University of Central Arkansas,"Conway, AR",2,12000,small city,67617
Camden County College,"Blackwood, NJ",2.5,6425,rural community,4588
Western Kentucky University,"Bowling Green, KY",4.5,13228,small city,74926
University of Pittsburgh-Main Campus,"Pittsburgh, PA",5,25069,medium city,302898
Binghamton University SUNY,"Binghamton, NY",4.5,18000,small city,47115
STOCKTON UNIVERSITY,"Galloway, NJ",4.5,9080,small city,35967
Kutztown University,"Kutztown, PA",4,8000,very small town,4164
East Carolina University,"Greenville, NC",,29131,small city,89233
Southern New Hampshire University,"Manchester, NH",3.5,3400,medium city,115141
Cuyahoga Community College Metro Campus,"Cleveland, OH",3,3094,medium city,361607
Cuyahoga Community College Western Campus,"Parma, OH",3,7000,small city,79358
Cuyahoga Community College Eastern Campus,"Highland Hills, OH",3,3394,small town,670
Cuyahoga Community College Westshore Campus,"Westlake, OH",3,2183,small city,33907
Ferris State University,"Big Rapids, MI",3.5,10222,small town,7858
Ferris State University,"Big Rapids, MI",3.5,10222,small town,7858
